"storeId","name","address","merchantId","storePackageId","numberSuccessTimeKeep","numberNotDetermined","numberOutRange","numberCases","numberMaxEmployee","numberMinEmployee"
"6","Allianz Stars From Heaven","The Golden Armor - B6 Giảng Võ","6","0","0","0","2","11","2"
"10","Lẩu nướng mùa hè (2)","ET0368638976tung-test","6","0","0","0","0","0","0"
"196","DEV TEST","ET0368638976tung-test","1096","0","0","0","0","0","0"
"194","Trà Chanh chém gió","ET0368638976tung-test","100","0","0","0","5","1","1"
"120","test quận huyện","Ng. 165 Đ. Cầu Giấy, Cầu Giấy, Hà Nội","561","0","0","4","5","1","1"
"844","Quán ăn dành cho người vui vẻ","266 Đội Cấn","561","12","15","39","31","1","1"
"5000263","quán ăn nhanh","ET0368638976tung-test","561","0","0","0","0","0","0"
"5000390","Store 1","266 Đội Cấn","747","136","1","21","42","24","1"
"5000634","Store 3","266 đội cấn","747","20","0","0","4","7","6"
"5000656","Store 4","101","747","2","0","0","1","1","1"
"5000391","Haidilao","266 đc","748","0","0","3","23","25","1"
"5000394","FnB triển khai","ET0368638976tung-test","750","5","0","0","2","2","2"
"5000416","tota'res","ET0368638976tung-test","755","5","0","3","2","4","4"
"5000551","Nhà hàng FnB","266 Đội cấn","755","0","0","0","0","0","0"
"5000509","Store test Sapo","ET0368638976tung-test","870","0","0","0","0","0","0"
"5000569","store chị Thương12342","Quận Cầu Giấy
dsds","870","30","5","23","10","2","1"
"5000923","OK KO","aaaađajasdjkbajdbkajsbdkjbaskdbakjsbdjkabkdbajkbdjkjbjasbd","881","0","0","0","19","17","1"
"5000926","Nhà hàng Link Link","Số 10","1034","4","7","12","5","1","1"
"5000938","Hóng Kpop","175 Tây Sơn","1034","0","0","2","2","1","1"
"5000993","0374181568 1","dsfdf","561","0","0","0","11","27","1"
"5001033","chấm công",,"1059","55","0","1","14","2","1"
"5001009","Nhà hàng FnB","266 Đội Cấn","1074","9","0","0","7","4","1"
"5001229","Kien",,"1168","0","0","2","2","3","2"
"5001238","test he thong","266 Đội Cấn","1173","0","0","1","1","1","1"
"2","Nha hang","ET0368638976tung-test","2","0","0","0","0","0","0"
"3","Cửa hàng tiện lợi","ET0368638976tung-test","3","0","0","0","0","0","0"
"4","Nha hang 123","Nha hang 123-ET-ET-Nha hang 123-ET0368638976tung-test","0","0","0","0","0","0","0"
"7","store của Hà Testerrrr","ET0368638976tung-test","238","0","0","0","0","0","0"
"9","Tên nhà hàng","ET0368638976tung-test","9","0","0","0","0","0","0"
"11","Fastfood (BASIC)","ET0368638976tung-test","6","0","0","0","0","0","0"
"12","Default (Cấm sửa)","ET0368638976tung-test","6","0","0","0","0","0","0"
"13","Expired","","6","0","0","0","0","0","0"
"15","Quỳnh 15","ET0368638976tung-test","0","0","0","0","0","0","0"
"18","Test10","ET0368638976tung-test","3","0","0","0","0","0","0"
"19","Test22","ET0368638976tung-test","3","0","0","0","0","0","0"
"20","2222222a","ET0368638976tung-test","10","0","0","0","0","0","0"
"21","bun46.mysapo.vn","ET0368638976tung-test","11","0","0","0","0","0","0"
"35","Hải sản miền núi","ali33-3.68638976E8ET0777862309-ali33-0368638976ET0777862309-ali33-0368638976ET0777862309-Hải sản miền núi-ET0777862309-ET0368638976tung-test","788","0","0","0","0","0","0"
"38","nha hang 2","ET0368638976tung-test","2","0","0","0","0","0","0"
"39","Store test","ET0368638976tung-test","2","0","0","0","0","0","0"
"40","Ahaha","ET0967880995-Ahaha-ET0967880995-Ahaha-ET0967880995-Ahaha-ET0967880995-Ahaha-ET0368638976tung-test","2","0","0","0","0","0","0"
"41","Time report","ET0368638976tung-test","2","0","0","0","0","0","0"
"42","Nhân viên chuỗi nè","ET0368638976tung-test","2","0","0","0","0","0","0"
"44","Ád","ET0368638976tung-test","14","0","0","0","0","0","0"
"47","Store với cái tên dài thật dài, nhiều thật nhiều","ET0368638976tung-test","1","0","0","0","0","0","0"
"52","Khai Res","Khai Res-ET0987940369-ET0368638976tung-test","0","0","0","0","0","0","0"
"53","Test 1234","ET0368638976tung-test","16","0","0","0","0","0","0"
"55","hà test1","ET0368638976tung-test","238","0","0","0","0","0","0"
"56","sdgsg","sdgsg-ET0389952471-ET0368638976tung-test","0","0","0","0","0","0","0"
"58","97 update","97 update-ET0909000121-ET0368638976tung-test","0","0","0","0","0","0","0"
"59","Yen Test","yennth-0368638976ET0987569874-Yen Test-ET0987569874-ET0368638976tung-test","0","0","0","0","0","0","0"
"61","97 update","ET0368638976tung-test","22","0","0","0","0","0","0"
"62","hh","hh-ET0364899965-ET0368638976tung-test","0","0","0","0","0","0","0"
"63","98 update","98 update-ET0332252249-ET0368638976tung-test","0","0","0","0","0","0","0"
"64","abc","YếnNguyễn Hải-0368638976ET0963255527-abc-ET0963255527-ET0368638976tung-test","0","0","0","0","0","0","0"
"65","99 update","99 update-ET0332252250-ET0368638976tung-test","0","0","0","0","0","0","0"
"68","100 update","100 update-ET0332252252-ET0368638976tung-test","0","0","0","0","0","0","0"
"69","102 update","102 update-ET0332252253-ET0368638976tung-test","0","0","0","0","0","0","0"
"70","103 update","ET0368638976tung-test","31","0","0","0","0","0","0"
"71","test","test-ET0356073652-ET0368638976tung-test","0","0","0","0","0","0","0"
"72","bun84.mysapo.vn","ET0368638976tung-test","33","0","0","0","0","0","0"
"73","store 1","ET0368638976tung-test","34","0","0","0","0","0","0"
"79","Nhà hàng hải sản Biển Đông abc
Nguyễn Yến","ET0368638976tung-test","40","0","0","0","0","0","0"
"80","PC store mới","ET0368638976tung-test","677","0","0","0","0","0","0"
"82","PC2","ET0368638976tung-test","7","0","0","0","0","0","0"
"83","PC3 haltb","ET0368638976tung-test","685","0","0","0","0","0","0"
"85","PC5","ET0368638976tung-test","7","0","0","0","0","0","0"
"88","test","ET0368638976tung-test","41","0","0","0","0","0","0"
"92","bun48.mysapo.vn","ET0368638976tung-test","46","0","0","0","0","0","0"
"93","bun49.mysapo.vn","ET0368638976tung-test","47","0","0","0","0","0","0"
"94","bun50.mysapo.vn","ET0368638976tung-test","48","0","0","0","0","0","0"
"95","Thế anh","ET0368638976tung-test","9","0","0","0","0","0","0"
"96","Nha Hang","abcdefTrương Tam Phong-3.68638976E8ET0865230986-abcdefTrương Tam Phong-0368638976ET0865230986-abcdefTrương Tam Phong-0368638976ET0865230986-Nha Hang-ET0865230986-ET0368638976tung-test","788","0","0","0","0","0","0"
"97","Store Test 01","Store Test 01-ET0981075100-ET0368638976tung-test","0","0","0","0","0","0","0"
"98","Store Test 02","ET0368638976tung-test","51","0","0","0","0","0","0"
"99","Store Test 03","Store Test 03-ET0981075102-ET0368638976tung-test","0","0","0","0","0","0","0"
"101","Store Test 04","Store Test 04-ET0981075103-ET0368638976tung-test","0","0","0","0","0","0","0"
"103","Store Test 04","Store Test 04-ET09800-ET0368638976tung-test","0","0","0","0","0","0","0"
"104","Yến 2","ET0368638976tung-test","40","0","0","0","0","0","0"
"105","Yến 2","ET0368638976tung-test","40","0","0","0","0","0","0"
"106","Thế anh 3","ET0368638976tung-test","9","0","0","0","0","0","0"
"107","HuyPC","HuyPC-ET0349030818-ET0368638976tung-test","0","0","0","0","0","0","0"
"109","Hải Store","ET0368638976tung-test","1","0","0","0","0","0","0"
"111","PC07","ET0368638976tung-test","7","0","0","0","0","0","0"
"113","haltb","haltb-ET0356073652-ET0368638976tung-test","0","0","0","0","0","0","0"
"117","11111111111","ET0368638976tung-test","11","0","0","0","0","0","0"
"118","PC09","ET0368638976tung-test","7","0","0","0","0","0","0"
"119","PC10","ET0368638976tung-test","41","0","0","0","0","0","0"
"121","vvvvv","ET0368638976tung-test","58","0","0","0","0","0","0"
"122","quangtest123","ET0368638976tung-test","59","0","0","0","0","0","0"
"124","fnb","ET0368638976tung-test","60","0","0","0","0","0","0"
"125","fnb1","ET0368638976tung-test","60","0","0","0","0","0","0"
"126","fnb","fnb-ET0356073652-ET0368638976tung-test","0","0","0","0","0","0","0"
"127","new store","ET0368638976tung-test","1","0","0","0","0","0","0"
"130","PC12","ET0368638976tung-test","7","0","0","0","0","0","0"
"132","PC6","ET0368638976tung-test","7","0","0","0","0","0","0"
"135","bun51.mysapo.vn","ET0368638976tung-test","63","0","0","0","0","0","0"
"140","PC 4","","788","0","0","0","0","0","0"
"141","haltb","ET0368638976tung-test","238","0","0","0","0","0","0"
"143","FNB 1 HCM","FNB 1 HCM-ET0909248762-ET0368638976tung-test","0","0","0","0","0","0","0"
"147","new01","ET0368638976tung-test","1","0","0","0","0","0","0"
"148","Roses_are_Rosie","1115","66","13","0","0","10","1","1"
"149","store 2","ET0368638976tung-test","34","0","0","0","0","0","0"
"150","bun52.mysapo.vn","ET0368638976tung-test","67","0","0","0","0","0","0"
"151","Thủy Châu Cafe","Thủy Châu Cafe-ET0975651367-ET0368638976tung-test","0","0","0","0","0","0","0"
"152","Thanh","Thanh-ET0936453302-ET0368638976tung-test","0","0","0","0","0","0","0"
"153","Chè Tâm An","Chè Tâm An-ET0983499933-ET0368638976tung-test","0","0","0","0","0","0","0"
"154","Thanh","Thanh-ET0936453302-Thanh-ET0936453302-Thanh-ET0936453302-ET0368638976tung-test","0","0","0","0","0","0","0"
"155","Thanh Bo","Thanh Bo-ET0936453302-ET0368638976tung-test","0","0","0","0","0","0","0"
"156","Thanh Bo","Thanh Bo-ET0936453302-ET0368638976tung-test","0","0","0","0","0","0","0"
"159","thanh","thanh-ET0936453302-ET0368638976tung-test","0","0","0","0","0","0","0"
"169","shop hà an","ET0368638976tung-test","86","0","0","0","0","0","0"
"170","hahaha","ET0368638976tung-test","1","0","0","0","0","0","0"
"173","shop hà an 2","ET0368638976tung-test","86","0","0","0","0","0","0"
"175","shop hà an 3","ET0368638976tung-test","86","0","0","0","0","0","0"
"176","Test","ET0368638976tung-test","38","0","0","0","0","0","0"
"177","Thu Thảo","ET0368638976tung-test","38","0","0","0","0","0","0"
"181","asgag","asgag-ET0981075109-ET0368638976tung-test","0","0","0","0","0","0","0"
"183","Banh Xeo - Nem Lui","Banh Xeo - Nem Lui-ET0363717218-ET0368638976tung-test","0","0","0","0","0","0","0"
"184","shop hà an 4","ET0368638976tung-test","86","0","0","0","0","0","0"
"185","Quán Cà phê D9","Quán Cà phê D9-ET0913026630-ET0368638976tung-test","0","0","0","0","0","0","0"
"187","store 4","ET0368638976tung-test","34","0","0","0","0","0","0"
"188","store 3","ET0368638976tung-test","34","0","0","0","0","0","0"
"190","0891909092.mysapo.vn","ET0368638976tung-test","99","0","0","0","0","0","0"
"191","final","ET0368638976tung-test","86","0","0","0","0","0","0"
"192","123","ET0368638976tung-test","86","0","0","0","0","0","0"
"193","1111","ET0368638976tung-test","86","0","0","0","0","0","0"
"195","Thiên thời địa lợi nhân hòa (LOCKED)","ET0368638976tung-test","6","0","0","0","0","0","0"
"198","fdsafdsfdsafdsa","fdsafdsfdsafdsa-ET0983442453-ET0368638976tung-test","0","0","0","0","0","0","0"
"199","fdasfdsajkfjsdakfjasd","fdasfdsajkfjsdakfjasd-ET0983442453-ET0368638976tung-test","0","0","0","0","0","0","0"
"200","lương thị bích hà","lương thị bích hà-ET0356073652-ET0368638976tung-test","0","0","0","0","0","0","0"
"201","jfdksaljfkdslajfkas","jfdksaljfkdslajfkas-ET0706296386-ET0368638976tung-test","0","0","0","0","0","0","0"
"203","fdafsdafdsa","fdafsdafdsa-ET0706296387-ET0368638976tung-test","0","0","0","0","0","0","0"
"204","truongdx","ET0368638976tung-test","108","0","0","0","0","0","0"
"208","cuahangkemstore","cuahangkemstore-ET0978131665-ET0368638976tung-test","0","0","0","0","0","0","0"
"209","congtest2","ET0368638976tung-test","113","0","0","0","0","0","0"
"210","congtest2","congtest2-ET0372040296-ET0368638976tung-test","0","0","0","0","0","0","0"
"211","congtest2","congtest2-ET0372040297-ET0368638976tung-test","0","0","0","0","0","0","0"
"219","cong4321","cong4321-ET0827582803-ET0368638976tung-test","0","0","0","0","0","0","0"
"226","congnc@sapo.vn123","congnc@sapo.vn123-ET0854633906-ET0368638976tung-test","0","0","0","0","0","0","0"
"227","cửa hàng của hà an","ET0368638976tung-test","131","0","0","0","0","0","0"
"229","cửa hàng của haltb","cửa hàng của haltb-ET0356073652-ET0368638976tung-test","0","0","0","0","0","0","0"
"230","cửa hàng của haltb","cửa hàng của haltb-ET0356073652-ET0368638976tung-test","0","0","0","0","0","0","0"
"231","cửa hàng của hà tester","cửa hàng của hà tester-ET0356073652-ET0368638976tung-test","0","0","0","0","0","0","0"
"232","Tuyet","Tuyet-ET0866618301-ET0368638976tung-test","0","0","0","0","0","0","0"
"233","Store02","ET0368638976tung-test","100","0","0","0","0","0","0"
"234","Chè Lucky","Chè Lucky-ET0915190088-ET0368638976tung-test","0","0","0","0","0","0","0"
"235","huynq7","huynq7-0368638976ET0822284778-ET0368638976tung-test","0","0","0","0","0","0","0"
"236","alo","alo-ET0333333333-ET0368638976tung-test","0","0","0","0","0","0","0"
"237","alo","alo-ET0333333334-ET0368638976tung-test","0","0","0","0","0","0","0"
"238","alo","alo-ET0333333335-ET0368638976tung-test","0","0","0","0","0","0","0"
"239","bun53.mysapo.vn","bun53.mysapo.vn-ET0920391046-ET0368638976tung-test","0","0","0","0","0","0","0"
"240","0891909102.mysapo.vn","0891909102.mysapo.vn-ET0891909102-ET0368638976tung-test","0","0","0","0","0","0","0"
"241","bun46-0891209098.mysapo.vn","bun46-0891209098.mysapo.vn-ET0891209098-ET0368638976tung-test","0","0","0","0","0","0","0"
"242","alo","alo-ET0111111111-ET0368638976tung-test","0","0","0","0","0","0","0"
"243","Test Thuế","ET0368638976tung-test","679","0","0","0","0","0","0"
"244","Mận Coffee","ET0368638976tung-test ET0368638976tung-test ET0368638976tung-test ET0368638976tung-test","100","0","0","0","0","0","0"
"245","Test thuế v2","ET0368638976tung-test","86","0","0","0","0","0","0"
"246","Nhà hàng Yến Yến Tax",,"40","0","0","0","0","0","0"
"247","Yen03","ET0368638976tung-test","40","0","0","0","0","0","0"
"248","Test thuế v3","ET0368638976tung-test","86","0","0","0","0","0","0"
"249","Canh Cá","Canh Cá-ET0388376375-ET0368638976tung-test","0","0","0","0","0","0","0"
"251","aaa12345","ET0368638976tung-test","5","0","0","0","0","0","0"
"252","nam","ET0368638976tung-test","0","0","0","0","0","0","0"
"254","test@sapo.vn","test@sapo.vn-ET0988765432-ET0368638976tung-test","0","0","0","0","0","0","0"
"259","Huhu","PhụngTrần-0368638976ET-ET0368638976tung-test","0","0","0","0","0","0","0"
"262","tertre","tertre-ET0387413814-ET0368638976tung-test","0","0","0","0","0","0","0"
"263","huy","huy-0368638976ET0822284977-alo-ET033333122-ET0368638976tung-test","0","0","0","0","0","0","0"
"264","alo","alo-ET033333122-ET0368638976tung-test","0","0","0","0","0","0","0"
"265","huy","huy-ET0822284978-ET0368638976tung-test","0","0","0","0","0","0","0"
"266","huy","","788","0","0","0","0","0","0"
"267","huy","huy-0368638976ET0822284996-ET0368638976tung-test","0","0","0","0","0","0","0"
"268","huy","huy-0368638976ET08222849745-Nguyễn Thị Hải Yến-0368638976ET0981075107-ET0368638976tung-test","0","0","0","0","0","0","0"
"269","Yến Test Đăng Nhập Luôn","Nguyễn Thị Hải Yến-0368638976ET0981075107-ET0368638976tung-test","0","0","0","0","0","0","0"
"270","Yến Test Login","Nguyễn Yến-0368638976ET0963255527-Yến Test-ET0963255528-ET0368638976tung-test","0","0","0","0","0","0","0"
"271","Yến Test","Yến Test-ET0963255528-ET0368638976tung-test","0","0","0","0","0","0","0"
"276","alo","alo-ET0123343223-ET0368638976tung-test","0","0","0","0","0","0","0"
"277","alo","alo-ET0123343222-ET0368638976tung-test","0","0","0","0","0","0","0"
"280","Yến Test Tax","Yến Test Tax-ET0981075132-ET0368638976tung-test","0","0","0","0","0","0","0"
"281","bun46.mysapo.vn","bun46.mysapo.vn-ET0123123123-ET0368638976tung-test","0","0","0","0","0","0","0"
"282","bun46.mysapo.vn","ET0368638976tung-test","177","0","0","0","0","0","0"
"290","jenny","jenny-ET0971553450-ET0368638976tung-test","0","0","0","0","0","0","0"
"292","Test","Test-ET0982635733-ET0368638976tung-test","0","0","0","0","0","0","0"
"293","vuilam.mysapo.vn","ET0368638976tung-test","186","0","0","0","0","0","0"
"294","vuilam.mysapo.vn","ET0368638976tung-test","187","0","0","0","0","0","0"
"297","Yên Dev","","788","0","0","0","0","0","0"
"298","vuilam.mysapo.vn","ET0368638976tung-test","191","0","0","0","0","0","0"
"301","huy","huy-0368638976ET0833284944-ET0368638976tung-test","0","0","0","0","0","0","0"
"304","phở Lạc Việt","phở Lạc Việt-ET0764232947-ET0368638976tung-test","0","0","0","0","0","0","0"
"312","congnc-test@sapo.vn","congnc-test@sapo.vn-ET0827582804-ET0368638976tung-test","0","0","0","0","0","0","0"
"315","alo","ET0368638976tung-test","195","0","0","0","0","0","0"
